mean,lower_bound,upper_bound,count,confidence,group,evaluation_id,conditions
,,,0,0.95,"T(cheater, philosophical100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"T(cheater, philosophical100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"T(cheater, philosophical100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"T(cheater, philosophical100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"T(cheater, philosophical100%)I(philosophical)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"T(cheater, philosophical100%)I(philosophical)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"T(cheater, philosophical100%)I(philosophical)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"T(cheater, philosophical100%)I(philosophical)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"R512(cheater, philosophical100%)I(philosophical)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"R512(cheater, philosophical100%)I(philosophical)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"R512(cheater, philosophical100%)I(philosophical)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"R512(cheater, philosophical100%)I(philosophical)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"T(dramatic, gaslighting100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"T(dramatic, gaslighting100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"T(dramatic, gaslighting100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"T(dramatic, gaslighting100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"T(dramatic, gaslighting100%)I(gaslighting)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"T(dramatic, gaslighting100%)I(gaslighting)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"T(dramatic, gaslighting100%)I(gaslighting)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
,,,0,0.95,"T(dramatic, gaslighting100%)I(gaslighting)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"R512(dramatic, gaslighting100%)I(gaslighting)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
,,,0,0.95,"R512(dramatic, gaslighting100%)I(gaslighting)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
,,,0,0.95,"R512(dramatic, gaslighting100%)I(gaslighting)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
,,,0,0.95,"R512(dramatic, gaslighting100%)I(gaslighting)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,none
43.881890872227075,39.654400591873866,48.10938115258028,200,0.95,"T(sarcasm, paranoia100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",instruction_wild,respond
53.578029936125986,49.530739927523655,57.62531994472832,200,0.95,"T(sarcasm, paranoia100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,none
46.22292167286107,42.18568468270121,50.26015866302093,200,0.95,"T(sarcasm, paranoia100%)I(Empty)_Qwen2.5(7.0, LR1e-04)_seed14012026",ultrachat,respond
